北京电信226,#genre#
贵州卫视,http://sweetown.fun:4000/rtp/239.3.1.149:8076
河北卫视,http://sweetown.fun:4000/rtp/239.3.1.148:8072
黑龙江卫视,http://sweetown.fun:4000/rtp/239.3.1.133:8016
湖北卫视,http://sweetown.fun:4000/rtp/239.3.1.138:8044
湖南卫视,http://sweetown.fun:4000/rtp/239.3.1.132:8012
吉林卫视,http://sweetown.fun:4000/rtp/239.3.1.240:8172
江苏卫视,http://sweetown.fun:4000/rtp/239.3.1.135:8028
江西卫视,http://sweetown.fun:4000/rtp/239.3.1.123:8164
卡酷少儿,http://sweetown.fun:4000/rtp/239.3.1.189:8000
辽宁卫视,http://sweetown.fun:4000/rtp/239.3.1.210:8056
山东卫视,http://sweetown.fun:4000/rtp/239.3.1.209:8052
深圳卫视,http://sweetown.fun:4000/rtp/239.3.1.134:8020
天津卫视,http://sweetown.fun:4000/rtp/239.3.1.141:1234
浙江卫视,http://sweetown.fun:4000/rtp/239.3.1.137:8036
重庆卫视,http://sweetown.fun:4000/rtp/239.3.1.122:8160

北京联通zzmd,#genre#
CETV1,http://cn.zzmd.fun:8888/rtp/239.3.1.57:8152
安徽卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.211:8064
北京卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.241:8000
东方卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.136:8032
东南卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.156:8148
广东卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.142:8048
贵州卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.149:8076
河北卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.148:8072
黑龙江卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.133:8016
湖北卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.138:8044
湖南卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.132:8012
吉林卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.240:8172
江苏卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.135:8028
江西卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.123:8164
卡酷少儿,http://cn.zzmd.fun:8888/rtp/239.3.1.189:8000
辽宁卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.210:8056
山东卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.209:8052
深圳卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.134:8020
天津卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.141:1234
浙江卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.137:8036
重庆卫视,http://cn.zzmd.fun:8888/rtp/239.3.1.122:8160

甘肃电信38,#genre#
CETV1,http://42.94.210.38:9000/udp/239.255.30.90:8231
安徽卫视,http://42.94.210.38:9000/udp/239.255.30.84:8231
北京卫视,http://42.94.210.38:9000/udp/239.255.30.133:8231
东方卫视,http://42.94.210.38:9000/udp/239.255.30.130:8231
东南卫视,http://42.94.210.38:9000/udp/239.255.30.86:8231
凤凰香港,http://42.94.210.38:9000/udp/239.255.30.123:8231
凤凰中文,http://42.94.210.38:9000/udp/239.255.30.50:8231
凤凰资讯,http://42.94.210.38:9000/udp/239.255.30.70:8231
甘肃卫视,http://42.94.210.38:9000/udp/239.255.30.249:8231
广东卫视,http://42.94.210.38:9000/udp/239.255.30.134:8231
广西卫视,http://42.94.210.38:9000/udp/239.255.29.4:8231
贵州卫视,http://42.94.210.38:9000/udp/239.255.30.98:8231
哈哈炫动,http://42.94.210.38:9000/udp/239.255.29.37:8231
海南卫视,http://42.94.210.38:9000/udp/239.255.30.99:8231
河北卫视,http://42.94.210.38:9000/udp/239.255.30.85:8231
河南卫视,http://42.94.210.38:9000/udp/239.255.29.3:8231
黑龙江卫视,http://42.94.210.38:9000/udp/239.255.30.137:8231
湖北卫视,http://42.94.210.38:9000/udp/239.255.30.138:8231
湖南卫视,http://42.94.210.38:9000/udp/239.255.30.136:8231
吉林卫视,http://42.94.210.38:9000/udp/239.255.29.5:8231
江苏卫视,http://42.94.210.38:9000/udp/239.255.30.131:8231
江西卫视,http://42.94.210.38:9000/udp/239.255.29.47:8231
江西卫视,http://42.94.210.38:9000/udp/239.255.30.71:8231
卡酷少儿,http://42.94.210.38:9000/udp/239.255.29.38:8231
辽宁卫视,http://42.94.210.38:9000/udp/239.255.30.69:8231
三沙卫视,http://42.94.210.38:9000/udp/239.255.29.46:8231
山东卫视,http://42.94.210.38:9000/udp/239.255.30.139:8231
深圳卫视,http://42.94.210.38:9000/udp/239.255.30.135:8231
四川卫视,http://42.94.210.38:9000/udp/239.255.30.91:8231
天津卫视,http://42.94.210.38:9000/udp/239.255.30.67:8231
云南卫视,http://42.94.210.38:9000/udp/239.255.29.2:8231
浙江卫视,http://42.94.210.38:9000/udp/239.255.30.132:8231
重庆卫视,http://42.94.210.38:9000/udp/239.255.30.89:8231

广东电信jianghua,#genre#
CETV1,http://gs.jianghua.fun:8888/udp/239.77.0.200:5146
CETV1,http://gs.jianghua.fun:8888/udp/239.77.1.222:5146
CETV4,http://gs.jianghua.fun:8888/udp/239.253.43.114:5146
CETV4,http://gs.jianghua.fun:8888/udp/239.253.43.40:5146
CETV4,http://gs.jianghua.fun:8888/udp/239.77.1.200:5146
CETV早期教育,http://gs.jianghua.fun:8888/udp/239.77.0.180:5146
安徽卫视,http://gs.jianghua.fun:8888/udp/239.77.0.183:5146
安徽卫视,http://gs.jianghua.fun:8888/udp/239.77.1.92:5146
北京卫视,http://gs.jianghua.fun:8888/udp/239.77.0.91:5146
北京卫视,http://gs.jianghua.fun:8888/udp/239.77.1.151:5146
北京卫视,http://gs.jianghua.fun:8888/udp/239.77.1.4:5146
东方卫视,http://gs.jianghua.fun:8888/udp/239.77.0.98:5146
东方卫视,http://gs.jianghua.fun:8888/udp/239.77.1.156:5146
东方卫视,http://gs.jianghua.fun:8888/udp/239.77.1.218:5146
东南卫视,http://gs.jianghua.fun:8888/udp/239.77.0.146:5146
东南卫视,http://gs.jianghua.fun:8888/udp/239.77.1.104:5146
甘肃卫视,http://gs.jianghua.fun:8888/udp/239.77.0.189:5146
广东卫视,http://gs.jianghua.fun:8888/udp/239.77.0.166:5146
广东卫视,http://gs.jianghua.fun:8888/udp/239.77.0.84:5146
广东卫视,http://gs.jianghua.fun:8888/udp/239.77.1.19:5146
广西卫视,http://gs.jianghua.fun:8888/udp/239.77.0.139:5146
贵州卫视,http://gs.jianghua.fun:8888/udp/239.77.0.230:5146
贵州卫视,http://gs.jianghua.fun:8888/udp/239.77.1.221:5146
海南卫视,http://gs.jianghua.fun:8888/udp/239.253.43.101:5146
海南卫视,http://gs.jianghua.fun:8888/udp/239.253.43.35:5146
河北卫视,http://gs.jianghua.fun:8888/udp/239.77.0.148:5146
河北卫视,http://gs.jianghua.fun:8888/udp/239.77.1.214:5146
河南卫视,http://gs.jianghua.fun:8888/udp/239.77.0.17:5146
河南卫视,http://gs.jianghua.fun:8888/udp/239.77.1.229:5146
黑龙江卫视,http://gs.jianghua.fun:8888/udp/239.77.0.124:5146
黑龙江卫视,http://gs.jianghua.fun:8888/udp/239.77.0.93:5146
黑龙江卫视,http://gs.jianghua.fun:8888/udp/239.77.1.179:5146
黑龙江卫视,http://gs.jianghua.fun:8888/udp/239.77.1.6:5146
湖北卫视,http://gs.jianghua.fun:8888/udp/239.77.0.128:5146
湖北卫视,http://gs.jianghua.fun:8888/udp/239.77.0.95:5146
湖北卫视,http://gs.jianghua.fun:8888/udp/239.77.1.174:5146
湖北卫视,http://gs.jianghua.fun:8888/udp/239.77.1.93:5146
湖南卫视,http://gs.jianghua.fun:8888/udp/239.77.0.127:5146
湖南卫视,http://gs.jianghua.fun:8888/udp/239.77.0.88:5146
湖南卫视,http://gs.jianghua.fun:8888/udp/239.77.1.129:5146
湖南卫视,http://gs.jianghua.fun:8888/udp/239.77.1.5:5146
吉林卫视,http://gs.jianghua.fun:8888/udp/239.77.0.150:5146
吉林卫视,http://gs.jianghua.fun:8888/udp/239.77.1.111:5146
嘉佳卡通,http://gs.jianghua.fun:8888/udp/239.77.0.179:5146
江苏卫视,http://gs.jianghua.fun:8888/udp/239.77.0.126:5146
江苏卫视,http://gs.jianghua.fun:8888/udp/239.77.0.90:5146
江苏卫视,http://gs.jianghua.fun:8888/udp/239.77.1.18:5146
江西卫视,http://gs.jianghua.fun:8888/udp/239.77.0.149:5146
江西卫视,http://gs.jianghua.fun:8888/udp/239.77.1.219:5146
金鹰卡通,http://gs.jianghua.fun:8888/udp/239.77.0.164:5146
辽宁卫视,http://gs.jianghua.fun:8888/udp/239.77.0.123:5146
辽宁卫视,http://gs.jianghua.fun:8888/udp/239.77.0.161:5146
辽宁卫视,http://gs.jianghua.fun:8888/udp/239.77.1.103:5146
青海卫视,http://gs.jianghua.fun:8888/udp/239.253.43.125:5146
三沙卫视,http://gs.jianghua.fun:8888/udp/239.253.43.113:5146
山东卫视,http://gs.jianghua.fun:8888/udp/239.77.0.132:5146
山东卫视,http://gs.jianghua.fun:8888/udp/239.77.0.94:5146
山东卫视,http://gs.jianghua.fun:8888/udp/239.77.1.142:5146
山东卫视,http://gs.jianghua.fun:8888/udp/239.77.1.153:5146
深圳卫视,http://gs.jianghua.fun:8888/udp/239.77.0.130:5146
深圳卫视,http://gs.jianghua.fun:8888/udp/239.77.0.92:5146
深圳卫视,http://gs.jianghua.fun:8888/udp/239.77.1.148:5146
深圳卫视,http://gs.jianghua.fun:8888/udp/239.77.1.3:5146
四川卫视,http://gs.jianghua.fun:8888/udp/239.77.0.159:5146
四川卫视,http://gs.jianghua.fun:8888/udp/239.77.0.163:5146
四川卫视,http://gs.jianghua.fun:8888/udp/239.77.1.215:5146
天津卫视,http://gs.jianghua.fun:8888/udp/239.77.0.131:5146
天津卫视,http://gs.jianghua.fun:8888/udp/239.77.0.97:5146
天津卫视,http://gs.jianghua.fun:8888/udp/239.77.1.141:5146
天津卫视,http://gs.jianghua.fun:8888/udp/239.77.1.182:5146
云南卫视,http://gs.jianghua.fun:8888/udp/239.253.43.100:5146
云南卫视,http://gs.jianghua.fun:8888/udp/239.253.43.37:5146
浙江卫视,http://gs.jianghua.fun:8888/udp/239.77.0.125:5146
浙江卫视,http://gs.jianghua.fun:8888/udp/239.77.0.89:5146
浙江卫视,http://gs.jianghua.fun:8888/udp/239.77.1.33:5146
重庆卫视,http://gs.jianghua.fun:8888/udp/239.77.0.182:5146
重庆卫视,http://gs.jianghua.fun:8888/udp/239.77.1.162:5146

河北电信petzhu,#genre#
CETV1,http://mail.petzhu.top:7000/rtp/239.254.200.225:6259
CETV4,http://mail.petzhu.top:7000/rtp/239.254.200.227:6261
CETV早期教育,http://mail.petzhu.top:7000/rtp/239.254.201.230:7253
安徽卫视,http://mail.petzhu.top:7000/rtp/239.254.200.163:6000
北京卫视,http://mail.petzhu.top:7000/rtp/239.254.200.47:8024
东方卫视,http://mail.petzhu.top:7000/rtp/239.254.200.52:8032
东南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.13:6291
广东卫视,http://mail.petzhu.top:7000/rtp/239.254.200.56:8048
广西卫视,http://mail.petzhu.top:7000/rtp/239.254.200.80:8300
贵州卫视,http://mail.petzhu.top:7000/rtp/239.254.201.20:6315
海南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.125:6288
河北卫视,http://mail.petzhu.top:7000/rtp/239.254.200.174:6000
河南卫视,http://mail.petzhu.top:7000/rtp/239.254.201.16:7174
黑龙江卫视,http://mail.petzhu.top:7000/rtp/239.254.200.49:8016
湖北卫视,http://mail.petzhu.top:7000/rtp/239.254.200.164:6000
湖南卫视,http://mail.petzhu.top:7000/rtp/239.254.200.48:8012
